Week,flu: (United States)
11/16/2014,13
11/23/2014,11
11/30/2014,16
12/7/2014,18
12/14/2014,25
12/21/2014,29
12/28/2014,34
1/4/2015,29
1/11/2015,24
1/18/2015,22
1/25/2015,19
2/1/2015,16
2/8/2015,14
2/15/2015,14
2/22/2015,13
3/1/2015,12
3/8/2015,11
3/15/2015,10
3/22/2015,9
3/29/2015,8
4/5/2015,9
4/12/2015,9
4/19/2015,9
4/26/2015,7
5/3/2015,6
5/10/2015,6
5/17/2015,7
5/24/2015,6
5/31/2015,5
6/7/2015,5
6/14/2015,4
6/21/2015,4
6/28/2015,4
7/5/2015,4
7/12/2015,4
7/19/2015,4
7/26/2015,4
8/2/2015,4
8/9/2015,4
8/16/2015,4
8/23/2015,5
8/30/2015,6
9/6/2015,7
9/13/2015,10
9/20/2015,12
9/27/2015,15
10/4/2015,20
10/11/2015,18
10/18/2015,19
10/25/2015,16
11/1/2015,15
11/8/2015,13
11/15/2015,12
11/22/2015,10
11/29/2015,11
12/6/2015,10
12/13/2015,10
12/20/2015,11
12/27/2015,11
1/3/2016,11
1/10/2016,10
1/17/2016,10
1/24/2016,10
1/31/2016,10
2/7/2016,11
2/14/2016,14
2/21/2016,15
2/28/2016,16
3/6/2016,17
3/13/2016,14
3/20/2016,12
3/27/2016,12
4/3/2016,10
4/10/2016,9
4/17/2016,10
4/24/2016,8
5/1/2016,7
5/8/2016,7
5/15/2016,7
5/22/2016,10
5/29/2016,7
6/5/2016,5
6/12/2016,4
6/19/2016,4
6/26/2016,4
7/3/2016,4
7/10/2016,4
7/17/2016,4
7/24/2016,4
7/31/2016,4
8/7/2016,4
8/14/2016,5
8/21/2016,5
8/28/2016,6
9/4/2016,8
9/11/2016,11
9/18/2016,12
9/25/2016,15
10/2/2016,17
10/9/2016,17
10/16/2016,16
10/23/2016,15
10/30/2016,13
11/6/2016,11
11/13/2016,12
11/20/2016,10
11/27/2016,12
12/4/2016,11
12/11/2016,12
12/18/2016,14
12/25/2016,17
1/1/2017,18
1/8/2017,18
1/15/2017,18
1/22/2017,18
1/29/2017,21
2/5/2017,25
2/12/2017,24
2/19/2017,22
2/26/2017,16
3/5/2017,16
3/12/2017,14
3/19/2017,14
3/26/2017,13
4/2/2017,11
4/9/2017,9
4/16/2017,8
4/23/2017,7
4/30/2017,7
5/7/2017,6
5/14/2017,6
5/21/2017,5
5/28/2017,5
6/4/2017,5
6/11/2017,5
6/18/2017,4
6/25/2017,4
7/2/2017,4
7/9/2017,4
7/16/2017,4
7/23/2017,4
7/30/2017,4
8/6/2017,5
8/13/2017,5
8/20/2017,6
8/27/2017,7
9/3/2017,8
9/10/2017,11
9/17/2017,13
9/24/2017,16
10/1/2017,18
10/8/2017,18
10/15/2017,17
10/22/2017,17
10/29/2017,16
11/5/2017,16
11/12/2017,16
11/19/2017,13
11/26/2017,16
12/3/2017,19
12/10/2017,20
12/17/2017,29
12/24/2017,38
12/31/2017,43
1/7/2018,64
1/14/2018,80
1/21/2018,93
1/28/2018,100
2/4/2018,84
2/11/2018,71
2/18/2018,43
2/25/2018,28
3/4/2018,20
3/11/2018,17
3/18/2018,15
3/25/2018,15
4/1/2018,13
4/8/2018,11
4/15/2018,9
4/22/2018,9
4/29/2018,7
5/6/2018,7
5/13/2018,6
5/20/2018,6
5/27/2018,6
6/3/2018,5
6/10/2018,5
6/17/2018,5
6/24/2018,4
7/1/2018,4
7/8/2018,5
7/15/2018,4
7/22/2018,4
7/29/2018,4
8/5/2018,5
8/12/2018,5
8/19/2018,6
8/26/2018,7
9/2/2018,11
9/9/2018,13
9/16/2018,15
9/23/2018,19
9/30/2018,25
10/7/2018,25
10/14/2018,30
10/21/2018,26
10/28/2018,23
11/4/2018,19
11/11/2018,18
11/18/2018,15
11/25/2018,18
12/2/2018,16
12/9/2018,17
12/16/2018,19
12/23/2018,25
12/30/2018,27
1/6/2019,26
1/13/2019,22
1/20/2019,23
1/27/2019,26
2/3/2019,31
2/10/2019,30
2/17/2019,29
2/24/2019,26
3/3/2019,24
3/10/2019,24
3/17/2019,20
3/24/2019,17
3/31/2019,14
4/7/2019,12
4/14/2019,10
4/21/2019,9
4/28/2019,8
5/5/2019,7
5/12/2019,7
5/19/2019,6
5/26/2019,6
6/2/2019,6
6/9/2019,5
6/16/2019,5
6/23/2019,5
6/30/2019,4
7/7/2019,5
7/14/2019,4
7/21/2019,4
7/28/2019,4
8/4/2019,5
8/11/2019,5
8/18/2019,7
8/25/2019,7
9/1/2019,9
9/8/2019,12
9/15/2019,16
9/22/2019,20
9/29/2019,24
10/6/2019,29
10/13/2019,27
10/20/2019,25
10/27/2019,22
11/3/2019,22
11/10/2019,21
