Week,sore throat: (United States)
12/14/2014,68
12/21/2014,80
12/28/2014,80
1/4/2015,67
1/11/2015,58
1/18/2015,61
1/25/2015,62
2/1/2015,60
2/8/2015,62
2/15/2015,62
2/22/2015,60
3/1/2015,60
3/8/2015,58
3/15/2015,57
3/22/2015,57
3/29/2015,57
4/5/2015,57
4/12/2015,54
4/19/2015,55
4/26/2015,56
5/3/2015,58
5/10/2015,55
5/17/2015,56
5/24/2015,58
5/31/2015,54
6/7/2015,53
6/14/2015,47
6/21/2015,47
6/28/2015,50
7/5/2015,46
7/12/2015,44
7/19/2015,44
7/26/2015,42
8/2/2015,42
8/9/2015,44
8/16/2015,44
8/23/2015,45
8/30/2015,49
9/6/2015,53
9/13/2015,53
9/20/2015,53
9/27/2015,51
10/4/2015,50
10/11/2015,52
10/18/2015,48
10/25/2015,48
11/1/2015,54
11/8/2015,55
11/15/2015,55
11/22/2015,56
11/29/2015,57
12/6/2015,58
12/13/2015,58
12/20/2015,71
12/27/2015,76
1/3/2016,66
1/10/2016,55
1/17/2016,60
1/24/2016,60
1/31/2016,62
2/7/2016,63
2/14/2016,64
2/21/2016,65
2/28/2016,65
3/6/2016,64
3/13/2016,61
3/20/2016,62
3/27/2016,59
4/3/2016,59
4/10/2016,60
4/17/2016,61
4/24/2016,56
5/1/2016,56
5/8/2016,61
5/15/2016,59
5/22/2016,57
5/29/2016,55
6/5/2016,51
6/12/2016,48
6/19/2016,48
6/26/2016,47
7/3/2016,45
7/10/2016,44
7/17/2016,44
7/24/2016,42
7/31/2016,41
8/7/2016,42
8/14/2016,44
8/21/2016,49
8/28/2016,54
9/4/2016,56
9/11/2016,58
9/18/2016,58
9/25/2016,55
10/2/2016,53
10/9/2016,53
10/16/2016,51
10/23/2016,52
10/30/2016,55
11/6/2016,54
11/13/2016,61
11/20/2016,62
11/27/2016,62
12/4/2016,61
12/11/2016,62
12/18/2016,71
12/25/2016,77
1/1/2017,72
1/8/2017,60
1/15/2017,60
1/22/2017,65
1/29/2017,68
2/5/2017,70
2/12/2017,69
2/19/2017,68
2/26/2017,62
3/5/2017,64
3/12/2017,62
3/19/2017,64
3/26/2017,64
4/2/2017,64
4/9/2017,65
4/16/2017,60
4/23/2017,60
4/30/2017,60
5/7/2017,63
5/14/2017,66
5/21/2017,63
5/28/2017,60
6/4/2017,57
6/11/2017,56
6/18/2017,51
6/25/2017,51
7/2/2017,48
7/9/2017,48
7/16/2017,46
7/23/2017,47
7/30/2017,45
8/6/2017,47
8/13/2017,48
8/20/2017,52
8/27/2017,58
9/3/2017,59
9/10/2017,62
9/17/2017,60
9/24/2017,58
10/1/2017,52
10/8/2017,52
10/15/2017,54
10/22/2017,56
10/29/2017,60
11/5/2017,63
11/12/2017,68
11/19/2017,71
11/26/2017,72
12/3/2017,70
12/10/2017,75
12/17/2017,86
12/24/2017,100
12/31/2017,91
1/7/2018,73
1/14/2018,72
1/21/2018,75
1/28/2018,78
2/4/2018,80
2/11/2018,77
2/18/2018,70
2/25/2018,67
3/4/2018,69
3/11/2018,68
3/18/2018,68
3/25/2018,68
4/1/2018,67
4/8/2018,65
4/15/2018,62
4/22/2018,65
4/29/2018,63
5/6/2018,62
5/13/2018,60
5/20/2018,64
5/27/2018,62
6/3/2018,60
6/10/2018,57
6/17/2018,54
6/24/2018,54
7/1/2018,51
7/8/2018,51
7/15/2018,48
7/22/2018,47
7/29/2018,47
8/5/2018,49
8/12/2018,50
8/19/2018,54
8/26/2018,59
9/2/2018,61
9/9/2018,60
9/16/2018,61
9/23/2018,60
9/30/2018,57
10/7/2018,57
10/14/2018,56
10/21/2018,59
10/28/2018,60
11/4/2018,65
11/11/2018,69
11/18/2018,68
11/25/2018,72
12/2/2018,67
12/9/2018,70
12/16/2018,79
12/23/2018,92
12/30/2018,87
1/6/2019,70
1/13/2019,65
1/20/2019,70
1/27/2019,73
2/3/2019,74
2/10/2019,73
2/17/2019,75
2/24/2019,70
3/3/2019,70
3/10/2019,72
3/17/2019,69
3/24/2019,69
3/31/2019,66
4/7/2019,66
4/14/2019,65
4/21/2019,65
4/28/2019,64
5/5/2019,65
5/12/2019,71
5/19/2019,71
5/26/2019,67
6/2/2019,61
6/9/2019,57
6/16/2019,56
6/23/2019,56
6/30/2019,52
7/7/2019,50
7/14/2019,48
7/21/2019,47
7/28/2019,47
8/4/2019,47
8/11/2019,51
8/18/2019,54
8/25/2019,58
9/1/2019,58
9/8/2019,63
9/15/2019,63
9/22/2019,60
9/29/2019,56
10/6/2019,56
10/13/2019,56
10/20/2019,58
10/27/2019,59
11/3/2019,67
11/10/2019,66
11/17/2019,71
11/24/2019,71
12/1/2019,72
12/8/2019,69
